"filename", "language", "SCSS", "JavaScript JSX", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\index.scss", "SCSS", 34, 0, 0, 0, 0, 0, 3, 37
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 3, 7, 74
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.scss", "SCSS", 5, 0, 0, 0, 0, 0, 1, 6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 1, 8, 110
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.scss", "SCSS", 7, 0, 0, 0, 0, 0, 1, 8
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\outsideLayout.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 2, 12
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\main.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 7, 26
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\mocks\users.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 1, 7, 53
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.scss", "SCSS", 36, 0, 0, 0, 0, 2, 4, 42
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\error.page.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 4, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx", "JavaScript JSX", 0, 542, 0, 0, 0, 16, 57, 615
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss", "SCSS", 321, 0, 0, 0, 0, 7, 8, 336
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 10, 104
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.scss", "SCSS", 21, 0, 0, 0, 0, 5, 1, 27
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.jsx", "JavaScript JSX", 0, 214, 0, 0, 0, 1, 19, 234
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.scss", "SCSS", 138, 0, 0, 0, 0, 0, 4, 142
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\content.main.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 8, 81
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 2, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.scss", "SCSS", 4, 0, 0, 0, 0, 0, 1, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 10, 74
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.scss", "SCSS", 41, 0, 0, 0, 0, 0, 2, 43
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 6, 53
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.scss", "SCSS", 21, 0, 0, 0, 0, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 3, 35
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.scss", "SCSS", 12, 0, 0, 0, 0, 0, 1, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 3, 5, 93
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.scss", "SCSS", 96, 0, 0, 0, 0, 0, 1, 97
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 2, 23
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.scss", "SCSS", 8, 0, 0, 0, 0, 0, 2, 10
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 5, 67
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 9, 71
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 7, 69
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.scss", "SCSS", 54, 0, 0, 0, 0, 1, 2, 57
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.sidebar.scss", "SCSS", 8, 0, 0, 0, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.sidebar.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 4, 31
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 1, 6, 79
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\app.action.js", "JavaScript", 0, 0, 0, 39, 0, 0, 8, 47
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 0, 0, 20, 0, 0, 2, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js", "JavaScript", 0, 0, 0, 79, 0, 0, 5, 84
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js", "JavaScript", 0, 0, 0, 34, 0, 0, 6, 40
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\rootReducer.js", "JavaScript", 0, 0, 0, 7, 0, 0, 2, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\store.js", "JavaScript", 0, 0, 0, 15, 0, 0, 4, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.app.js", "JavaScript", 0, 0, 0, 29, 0, 0, 5, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 0, 0, 31, 0, 0, 2, 33
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 1, 6, 71
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\type\rootCss.type.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 4
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\axios.js", "JavaScript", 0, 0, 0, 23, 0, 8, 9, 40
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkAuth.js", "JavaScript", 0, 0, 0, 16, 0, 0, 3, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkFriend.js", "JavaScript", 0, 0, 0, 9, 0, 0, 2, 11
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\firebase.js", "JavaScript", 0, 0, 0, 13, 0, 2, 7, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleChat.js", "JavaScript", 0, 0, 0, 12, 0, 0, 2, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleUltils.js", "JavaScript", 0, 0, 0, 21, 0, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\io.js", "JavaScript", 0, 0, 0, 24, 0, 2, 2, 28
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\keyMenuItem.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 14
"Total", "-", 1544, 3752, 60, 390, 19, 90, 551, 6406
