"filename", "language", "Markdown", "HTML", "JavaScript", "JavaScript JSX", "JSON", "SCSS", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\content.main.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 8, 67
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 2, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 10, 72
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 2, 43
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 8, 55
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 1, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 3, 33
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 3, 5, 93
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.scss", "SCSS", 0, 0, 0, 0, 0, 96, 0, 1, 97
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 2, 23
