"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, -1, 3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, -4, 0
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.css", "CSS", 0, 0, 0, -62, 0, 0, 0, 0, -8, -70
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", -1, 0, 0, 0, 0, 0, 0, 1, 0, 0
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\type\rootCss.type.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleChat.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 751, -207, 257, -64, -9082, -1, -13, -28, 7, -8380
