"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 6, 79
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleUltils.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\io.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, -3, 3
"Total", "-", 91, 1124, 50, 586, 124, -1, 26, 163, 2163
